Rank,FeatureClass,FeatureName,Feature,DiscriminationScore,Corona1_ComparisonScore,Corona2_ComparisonScore,Corona3_ComparisonScore,Corona4_ComparisonScore,MeanComparisonScore,ComparisonTrend,MonotonicIncreaseRatio,MeanAbsCohensD,MeanFisherScore,MeanWassersteinDistance,MeanBhattacharyyaDistance,MeanKSStatistic,MeanHistogramOverlapCoefficient
52,glcm,Correlation,glcm.Correlation,0.4466435185185185,0.7668350168350169,0.4103535353535353,0.24410774410774413,0.2887205387205387,0.42750420875420875,-0.47811447811447816,0.3333333333333333,0.4477026343232904,0.2361471499618865,0.11943173132068463,0.09977647756946265,0.26001859770473934,0.7070608737055477
53,firstorder,Entropy,firstorder.Entropy,0.4460648148148148,0.8247053872053872,0.5515572390572391,0.38930976430976433,0.3333333333333333,0.524726430976431,-0.4913720538720539,0.0,0.6557808497646801,0.37758503693990264,0.19427995119021269,0.14208358818561911,0.33997465062801224,0.6407176708432082
54,gldm,DependenceEntropy,gldm.DependenceEntropy,0.44489162457912457,0.8242845117845118,0.5519781144781145,0.3897306397306397,0.31923400673400676,0.5213068181818182,-0.505050505050505,0.0,0.6543293611717429,0.37724989794624697,0.19369130001453658,0.14170957780092444,0.33920541985878144,0.6407176708432082
55,glrlm,RunEntropy,glrlm.RunEntropy,0.4434343434343435,0.826388888888889,0.5549242424242424,0.3865740740740741,0.2880892255892256,0.5139941077441078,-0.5382996632996633,0.0,0.6547697414720297,0.37843365230130444,0.19363866965367527,0.13592698790454305,0.33920541985878144,0.6533640182065367
56,gldm,DependenceNonUniformity,gldm.DependenceNonUniformity,0.4432186447811448,0.8179713804713805,0.5500841750841752,0.3811026936026936,0.3432239057239057,0.5230955387205387,-0.4747474747474748,0.0,0.6476456246993209,0.3762903805738204,0.9408662968061404,0.12449041904780414,0.3228620677248872,0.6727384402576962
57,glszm,ZoneEntropy,glszm.ZoneEntropy,0.4413720538720539,0.8280723905723907,0.5561868686868687,0.37647306397306396,0.2598905723905724,0.5051557239057239,-0.5681818181818183,0.0,0.6536928098436081,0.3812716719905662,0.1927263513976725,0.13064843378679053,0.3388909544499764,0.6545843858891686
58,glcm,JointEnergy,glcm.JointEnergy,0.4397148569023569,0.8249158249158249,0.5633417508417509,0.35816498316498313,0.2668350168350168,0.5033143939393939,-0.5580808080808082,0.0,0.5853076897975812,0.3050059526962481,0.03791124400731589,0.16561329649693984,0.35635538189022187,0.6130455951877912
59,glcm,MaximumProbability,glcm.MaximumProbability,0.435290404040404,0.8232323232323232,0.5319865319865319,0.35648148148148145,0.2504208754208755,0.490530303030303,-0.5728114478114477,0.0,0.5924015497184755,0.30034945401377927,0.0380217703312961,0.15516950234743174,0.33297815123734636,0.6315099085692589
60,glrlm,GrayLevelNonUniformityNormalized,glrlm.GrayLevelNonUniformityNormalized,0.4311342592592592,0.7994528619528619,0.5277777777777778,0.3667929292929293,0.32365319865319864,0.5044191919191919,-0.4757996632996633,0.0,0.6048768344043769,0.30239496732911086,0.019997878367133258,0.15451380582150273,0.33997465062801224,0.6333496115877594
61,firstorder,Uniformity,firstorder.Uniformity,0.42887205387205385,0.796506734006734,0.523989898989899,0.35500841750841755,0.32575757575757575,0.5003156565656566,-0.47074915824915825,0.0,0.6063565960541546,0.3010413196561572,0.020154452971154938,0.14958921245709608,0.33997465062801224,0.6380442172965161
62,glcm,Id,glcm.Id,0.4228956228956229,0.3863636363636364,0.28493265993266,0.5109427609427609,0.640993265993266,0.45580808080808083,0.2546296296296296,0.6666666666666666,0.4705812797784051,0.17805279092701448,0.020876550337955997,0.11387822521067117,0.2804903991597925,0.6978197128780781
63,glszm,GrayLevelNonUniformityNormalized,glszm.GrayLevelNonUniformityNormalized,0.422148569023569,0.8002946127946128,0.522516835016835,0.3360690235690236,0.23505892255892258,0.4734848484848485,-0.5652356902356902,0.0,0.5980792711344267,0.3055678391270691,0.019537251855225722,0.13486346983986508,0.3388909544499764,0.6526901145486946
64,ngtdm,Busyness,ngtdm.Busyness,0.4134364478114477,0.7971380471380471,0.4667508417508417,0.27777777777777773,0.2508417508417508,0.44812710437710435,-0.5462962962962963,0.0,0.49414393833853,0.23836305241448888,0.030475113742064863,0.1613299977099411,0.27154975641944235,0.6733640220340125
65,glszm,LargeAreaLowGrayLevelEmphasis,glszm.LargeAreaLowGrayLevelEmphasis,0.3780566077441077,0.351010101010101,0.4913720538720539,0.45622895622895626,0.46548821548821545,0.44102483164983164,0.11447811447811446,0.6666666666666666,0.14400894566249242,0.010516440169793301,0.012107503461052861,0.18537155646106254,0.47373185776487664,0.6209979033087762
66,glcm,Idm,glcm.Idm,0.37659932659932654,0.33585858585858586,0.1919191919191919,0.4128787878787879,0.5660774410774411,0.3766835016835017,0.2302188552188552,0.6666666666666666,0.3261889942973467,0.08246401399543454,0.010010918800316753,0.07235356056755413,0.2514989045764362,0.7511863911802711
67,glrlm,LongRunLowGrayLevelEmphasis,glrlm.LongRunLowGrayLevelEmphasis,0.36876052188552183,0.34743265993265987,0.46990740740740744,0.4292929292929293,0.4478114478114478,0.4236111111111111,0.10037878787878796,0.6666666666666666,0.11331519492073688,0.006752272189363674,0.006757384731475145,0.18422479450857612,0.47373185776487664,0.6195640084081988
68,gldm,LowGrayLevelEmphasis,gldm.LowGrayLevelEmphasis,0.36267361111111107,0.3543771043771044,0.44381313131313127,0.40277777777777785,0.4343434343434343,0.40882786195286197,0.07996632996632991,0.6666666666666666,0.08868225732326511,0.00437816695457595,0.0049681491346102,0.18439963774238743,0.47373185776487664,0.6182937227866473
69,glcm,InverseVariance,glcm.InverseVariance,0.36253156565656564,0.3143939393939394,0.21506734006734007,0.37457912457912457,0.5366161616161617,0.36016414141414144,0.22222222222222227,0.6666666666666666,0.19457855205936125,0.03590499207509618,0.00982973583463764,0.10356656286399891,0.26050985039162733,0.7324948290802422
70,glrlm,LowGrayLevelRunEmphasis,glrlm.LowGrayLevelRunEmphasis,0.36200021043771036,0.34995791245791247,0.43792087542087543,0.40677609427609424,0.436026936026936,0.40767045454545453,0.08606902356902352,0.6666666666666666,0.08200932100151277,0.0037808854328019517,0.004595193863799374,0.18964698052301052,0.47373185776487664,0.618220549104983
71,firstorder,Kurtosis,firstorder.Kurtosis,0.3616792929292929,0.5820707070707071,0.33291245791245794,0.19865319865319864,0.3257575757575758,0.35984848484848486,-0.25631313131313127,0.3333333333333333,0.30153964066905725,0.07799502961908897,0.17595915813678825,0.059077301551860584,0.1661333921233611,0.8211310803279994
72,glrlm,ShortRunLowGrayLevelEmphasis,glrlm.ShortRunLowGrayLevelEmphasis,0.355418771043771,0.3512205387205387,0.42908249158249157,0.3888888888888889,0.4183501683501684,0.3968855218855219,0.0671296296296297,0.6666666666666666,0.07043820279502686,0.0029174124833102853,0.004069350817655042,0.1851406126725389,0.47373185776487664,0.6203235365263667
73,glszm,LowGrayLevelZoneEmphasis,glszm.LowGrayLevelZoneEmphasis,0.3486321548821549,0.34827441077441074,0.4147727272727273,0.390993265993266,0.3994107744107744,0.3883627946127946,0.051136363636363646,0.6666666666666666,0.056647161085930944,0.0018396746168528257,0.0035634143130090132,0.18902186696591508,0.47373185776487664,0.616501296748789
74,gldm,SmallDependenceLowGrayLevelEmphasis,gldm.SmallDependenceLowGrayLevelEmphasis,0.34405513468013466,0.36026936026936024,0.3651094276094276,0.39225589225589225,0.3861531986531987,0.3759469696969697,0.025883838383838453,0.6666666666666666,0.03184514454471332,0.0006972176965714949,0.003050811886095613,0.1873262254036615,0.47373185776487664,0.6152870032701953
75,glszm,SmallAreaLowGrayLevelEmphasis,glszm.SmallAreaLowGrayLevelEmphasis,0.34269255050505043,0.3518518518518518,0.35774410774410775,0.398989898989899,0.38825757575757575,0.37421085858585856,0.03640572390572394,0.6666666666666666,0.03620635056970669,0.0009304925244145722,0.0027027162336846853,0.186879125163787,0.47373185776487664,0.6195128809869376
76,gldm,LargeDependenceLowGrayLevelEmphasis,gldm.LargeDependenceLowGrayLevelEmphasis,0.33445917508417505,0.3514309764309764,0.5140993265993266,0.4821127946127946,0.47516835016835013,0.4557028619528619,0.1237373737373737,0.3333333333333333,0.15661230132427284,0.012322304359434821,0.018274491044284677,0.18629856743899736,0.47373185776487664,0.6234169751612133
77,gldm,LargeDependenceEmphasis,gldm.LargeDependenceEmphasis,0.3036563552188552,0.28808922558922556,0.16393097643097643,0.23737373737373735,0.3954124579124579,0.2712015993265993,0.10732323232323232,0.6666666666666666,0.24128285331493957,0.041504007716341294,0.05700052258713742,0.02842445959273376,0.058732569675368815,0.9373067584036058
78,glszm,LargeAreaEmphasis,glszm.LargeAreaEmphasis,0.29809027777777775,0.28345959595959597,0.13552188552188552,0.24095117845117844,0.38573232323232326,0.2614162457912458,0.10227272727272729,0.6666666666666666,0.2397867256064053,0.0411028421152938,0.03612118257135947,0.027537414013560538,0.058732569675368815,0.9381028733626059
