Rank,FeatureClass,FeatureName,Feature,ROI0_StabilityScore,ROI0_NumberOfVoxels,ROI0_Mean,ROI0_Median,ROI0_Variance,ROI0_StandardDeviation,ROI0_CoefficientOfVariation,ROI0_MAD,ROI0_IQR,ROI0_Minimum,ROI0_Maximum,ROI0_P05,ROI0_P95
34,glrlm,RunEntropy,glrlm.RunEntropy,0.6247963506028021,318,2.984374928762123,3.1699250014423086,0.08598677099311025,0.293235009835303,0.09825675956771716,0.0,0.22222222222222188,1.9219280948873612,3.1699250014423086,2.321928094887361,3.1699250014423086
35,glcm,Idn,glcm.Idn,0.6205278592375366,318,0.8996469019236143,0.9050452601004768,0.002293005609190868,0.04788533814426779,0.05322681381092952,0.02909777618967474,0.058061033220964786,0.7284664301963294,0.9802708117197091,0.8150600281972676,0.9605529679713708
36,gldm,DependenceEntropy,gldm.DependenceEntropy,0.6186054089279895,318,2.983734963781008,3.1699250014423086,0.08605160908133963,0.2933455455283745,0.09831488020525964,0.0,0.22222222222222188,1.9219280948873612,3.1699250014423086,2.321928094887361,3.1699250014423086
37,gldm,LargeDependenceLowGrayLevelEmphasis,gldm.LargeDependenceLowGrayLevelEmphasis,0.6125448028673836,318,0.005879139991984429,5.767467828501014e-05,0.0008018931769067339,0.02831771842692723,4.816642989541901,5.054548772535774e-05,0.000563817518117911,4.434070666365907e-06,0.2728667096049676,6.29667421711654e-06,0.03213373634428325
38,glszm,LargeAreaLowGrayLevelEmphasis,glszm.LargeAreaLowGrayLevelEmphasis,0.6063538611925708,318,0.005879080797299415,5.767467828501014e-05,0.0008018938863986706,0.028317730954274402,4.8166936176965445,5.054548772535774e-05,0.000563817518117911,4.434070666365907e-06,0.2728667096049676,6.29667421711654e-06,0.03213373634428325
39,glcm,Idm,glcm.Idm,0.5983056370153145,318,0.015489709468074703,0.004294679242820695,0.00048691025073595626,0.022066042933338914,1.424561446992822,0.0037438678264411778,0.02156481463544469,3.6968776876130364e-05,0.13155592905507676,0.0003010632626968606,0.0637280839130725
40,glcm,JointEntropy,glcm.JointEntropy,0.5949820788530465,318,3.0183741177308607,3.292481250360574,0.22087901289520512,0.46997767276244634,0.15570557340842955,0.0,0.23527657773660637,1.2499999999999991,3.292481250360574,1.8962406251802877,3.292481250360574
41,glrlm,LongRunLowGrayLevelEmphasis,glrlm.LongRunLowGrayLevelEmphasis,0.5909416748126426,318,0.005878859599071776,5.767467828501014e-05,0.000801896468494811,0.028317776545746152,4.816882605976387,5.054548772535774e-05,0.0005652148366798272,4.434070666365907e-06,0.2728667096049676,6.2171942404746966e-06,0.03213373634428325
42,glcm,DifferenceEntropy,glcm.DifferenceEntropy,0.5843597262952102,318,1.9901947856414384,2.2924812503605763,0.21909214059992732,0.4680727941249388,0.23518943849211185,0.0,0.39845762664277107,0.24999999999999958,2.2924812503605763,0.8962406251802884,2.2924812503605763
43,glszm,LowGrayLevelZoneEmphasis,glszm.LowGrayLevelZoneEmphasis,0.579960899315738,318,0.005878881323166114,5.767467828501014e-05,0.0008018962253801593,0.02831777225313035,4.816864076085756,5.0704280775969655e-05,0.0005652641612164822,4.434070666365907e-06,0.2728667096049676,6.2171942404746966e-06,0.03213373634428325
44,glcm,SumEntropy,glcm.SumEntropy,0.5761485826001955,318,2.0135785202465866,2.2924812503605763,0.22650124789079484,0.4759214723993811,0.23635605347096117,0.0,0.33527657773660735,0.24999999999999958,2.2924812503605763,0.8962406251802884,2.2924812503605763
45,glcm,Id,glcm.Id,0.5706093189964158,318,0.04491737813799747,0.036820251336251636,0.0009513380030372245,0.030843767653080653,0.6866778278625447,0.016382313940435038,0.03494765059759178,0.005379426380379498,0.1790612605112895,0.013096038599695433,0.1061065262303684
46,firstorder,Entropy,firstorder.Entropy,0.5699902248289346,318,2.983734963781008,3.169925001442309,0.08605160908133976,0.2933455455283747,0.0983148802052597,4.440892098500626e-16,0.22222222222222188,1.9219280948873612,3.1699250014423095,2.321928094887361,3.1699250014423095
47,glszm,SmallAreaLowGrayLevelEmphasis,glszm.SmallAreaLowGrayLevelEmphasis,0.5655588139459107,318,0.00587883145463279,5.767467828501014e-05,0.000801896810381498,0.028317782582354466,4.816906693257679,5.0735773259885527e-05,0.0005652641612164822,4.404486768733605e-06,0.2728667096049676,6.045351715064601e-06,0.03213373634428325
48,glrlm,LowGrayLevelRunEmphasis,glrlm.LowGrayLevelRunEmphasis,0.5654284783317041,318,0.005878809730538451,5.767467828501014e-05,0.000801897053572089,0.028317786876309543,4.816925223690793,5.0634936723781716e-05,0.0005652641612164822,4.434070666365907e-06,0.2728667096049676,6.2171942404746966e-06,0.03213373634428325
49,glrlm,RunLengthNonUniformity,glrlm.RunLengthNonUniformity,0.5645487129358097,318,8.135248203054806,9.0,1.8646953395238965,1.3655384796935957,0.16785455656790318,0.0,1.0,4.0,9.0,5.0,9.0
50,glrlm,ShortRunLowGrayLevelEmphasis,glrlm.ShortRunLowGrayLevelEmphasis,0.5592375366568915,318,0.0058787972634051205,5.767467828501014e-05,0.0008018971998574065,0.028317789459232277,4.816935878280319,5.0634936723781716e-05,0.0005652641612164822,4.434070666365907e-06,0.2728667096049676,6.2171942404746966e-06,0.03213373634428325
